Date;Year;Month;Day;Clients;Holiday;Vacation;Closed_restaurants
2019-01-01;2019;January;Tuesday;82;True;False;0
2019-01-02;2019;January;Wednesday;0;False;True;0
2019-01-03;2019;January;Thursday;0;False;True;0
2019-01-04;2019;January;Friday;0;False;True;0
2019-01-05;2019;January;Saturday;0;False;True;0
2019-01-06;2019;January;Sunday;0;True;True;0
2019-01-07;2019;January;Monday;0;False;True;0
2019-01-08;2019;January;Tuesday;0;False;True;0
2019-01-09;2019;January;Wednesday;0;False;True;0
2019-01-10;2019;January;Thursday;0;False;True;0
2019-01-11;2019;January;Friday;114;False;False;3
2019-01-12;2019;January;Saturday;204;False;False;3
2019-01-13;2019;January;Sunday;205;False;False;3
2019-01-14;2019;January;Monday;0;False;True;3
2019-01-15;2019;January;Tuesday;0;False;True;3
2019-01-16;2019;January;Wednesday;50;False;False;3
2019-01-17;2019;January;Thursday;53;False;False;3
2019-01-18;2019;January;Friday;99;False;False;3
2019-01-19;2019;January;Saturday;192;False;False;3
2019-01-20;2019;January;Sunday;198;False;False;3
2019-01-21;2019;January;Monday;0;False;True;4
2019-01-22;2019;January;Tuesday;0;False;True;4
2019-01-23;2019;January;Wednesday;53;False;False;4
2019-01-24;2019;January;Thursday;30;False;False;4
2019-01-25;2019;January;Friday;103;False;False;4
2019-01-26;2019;January;Saturday;187;False;False;4
2019-01-27;2019;January;Sunday;212;False;False;4
2019-01-28;2019;January;Monday;0;False;True;0
2019-01-29;2019;January;Tuesday;0;False;True;0
2019-01-30;2019;January;Wednesday;39;False;False;0
2019-01-31;2019;January;Thursday;51;False;False;0
2019-02-01;2019;February;Friday;78;False;False;0
2019-02-02;2019;February;Saturday;199;False;False;0
2019-02-03;2019;February;Sunday;192;False;False;0
2019-02-04;2019;February;Monday;0;False;True;0
2019-02-05;2019;February;Tuesday;0;False;True;0
2019-02-06;2019;February;Wednesday;30;False;False;0
2019-02-07;2019;February;Thursday;39;False;False;0
2019-02-08;2019;February;Friday;99;False;False;0
2019-02-09;2019;February;Saturday;208;False;False;0
